    CÓDIGO, PRECIO, VIGENCIA
    DIGITALTEZONTLE, 280.00, 2023-06-17
    FIESTASATELITE, 280.00, 2023-06-17
    FIESTATEZONTLE, 280.00, 2023-06-17
    DIGITALSATELITE, 280.00, 2023-06-17
    OFTALMOPEDIATRIA590, 590.00, 2025-12-31
    ESTRABISMO590, 590.00, 2025-12-31
    RADIOSALAUNO, 280.00, 2023-07-14
    DIGITALGENERAL350, 350.00, 2023-12-31
    DIGITALESP590, 590.00, 2023-12-31
    DIGITALINTEGRAL0, 0.00, 2023-12-31
    DIGITALCHECKUP550, 350.00, 2023-12-31
    OPTICAGRATISSEO, 0.00, 2023-12-31
    VISIONGRATIS, 0.00, 2023-12-31
    VALLA-AR, 350.00, 2024-12-31
    SALUDVISUAL, 299.00, 2024-12-31
    SEOMAYO299, 299.00, 2023-06-30
    ALANPRUEBA, 299.00, 2023-08-03
    OPTICAGRATIS-BOTON, 0.00, 2024-12-31
    C-DIG-DHCATARATAS, 150.00, 2024-12-31
        C-DIG-FBAD-DHCATARATAS, 150.00, 2024-12-31
    C-DIG-GA-BRANDING-AWARNESS, 150.00, 2023-12-31
    C-DIG-GA-BRANDING-CONSIDERATION, 299.00, 2024-12-31
    C-DIG-GA-BRANDING-CONVERTION, 150.00, 2023-12-31
    C-DIG-FBAD-AWARNESS, 150.00, 2024-12-31
    C-DIG-FBAD-CONSIDERATION, 150.00, 2023-12-31
    C-DIG-FBAD-CONVERTION, 150.00, 2023-12-31
    DHLP-CONSIDERATION, 150.00, 2023-12-31
    C-DIG-BING-BRANDING-CONSIDERATION, 299.00, 2025-12-31
    WEB-OCULOPLASTIA, 590.00, 2023-12-31
    C-DIG-GOOGLEMB-001, 299.00, 2026-12-01
    WEB-LASIK, 590.00, 2023-12-31
    SEO249, 249.00, 2023-12-30
    WIDGET-SEO, 249.00, 2024-12-31
    C-DIG-YT-BRANDING1, 299.00, 2024-05-31
    C-DIG-YT-BRANDING2, 299.00, 2024-05-31
    C-DIG-YT-BRANDING3, 299.00, 2024-05-31
    BAJAS350, 350.00, 2023-11-30
    LAVILLA350, 350.00, 2023-12-30
    SMSSEO, 350.00, 2024-12-30
    SMS-AD, 350.00, 2024-12-30
    SMS-PLV, 350.00, 2024-12-30
    SMS-R, 350.00, 2024-12-30
    VISION23, 299.00, 2023-11-30
    VISIONFB, 299.00, 2023-11-30
    VISIONR, 299.00, 2023-11-30
    VISIONGMB, 299.00, 2023-11-30
    VISIONCLINICA, 299.00, 2023-11-30
    SMSSEO, 350.00, 2023-12-31
    TOPSATELITE, 350.00, 2024-12-31
    TOPACOXPA, 350.00, 2024-12-31
    TOPTEZONTLE, 350.00, 2024-12-31
    TOPROMA, 350.00, 2024-12-31
    TOPHAMBURGO, 350.00, 2024-12-31
    TOPNARVARTE, 350.00, 2024-12-31
    TOPASEGURADORAS, 350.00, 2024-12-31
    TOPSATELITE-ESP, 590.00, 2024-12-31
    TOPACOXPA-ESP, 590.00, 2024-12-31
    TOPTEZONTLE-ESP, 590.00, 2024-12-31
    TOPROMA-ESP, 590.00, 2024-12-31
    TOPHAMBURGO-ESP, 590.00, 2024-12-31
    TOPNARVARTE-ESP, 590.00, 2024-12-31
    TOPSATELITE-VI, 0.00, 2024-12-31
    TOPACOXPA-VI, 0.00, 2024-12-31
    TOPTEZONTLE-VI, 0.00, 2024-12-31
    TOPROMA-VI, 0.00, 2024-12-31
    TOPHAMBURGO-VI, 0.00, 2024-12-31
    TOPNARVARTE-VI, 0.00, 2024-12-31
    RADIOEDUCACION, 299.00, 2023-10-31
    MAILDIABETES, 590.00, 2023-12-31
    DIABETESFB, 400.00, 2023-12-31
    MAILING400, 400.00, 2023-12-31
    RS400, 400.00, 2023-12-31
    WEB400, 400.00, 2023-12-31
    GMBDIABETES, 400.00, 2023-12-31
    SMSDIABETES, 400.00, 2023-12-31
    POSTER400, 400.00, 2023-12-31
    AZUCARPOSTER, 400.00, 2023-12-31
    DMDIABETES, 400.00, 2023-12-31
    SMSSEOBF, 245.00, 2023-11-30
    SMSADBF, 245.00, 2023-11-30
    SMSRBF, 245.00, 2023-11-24
    VERWEB, 150.00, 2023-12-31
    VERFB, 150.00, 2023-12-31
    VERGOOGLE, 150.00, 2023-12-31
    VERMEJOR, 150.00, 2023-12-31
    MAIL-NUEVOPRECIO-DIGITAL, 299.00, 2024-12-31
    MAIL-NUEVOPRECIO-DIRECTO, 299.00, 2024-12-31
    C-DIG-FB-001, 299.00, 2025-12-31
    C-DIG-IG-001, 299.00, 2025-12-31
    NUEVOPRECIO-WEB, 299.00, 2025-12-31
    NUEVOPRECIO-RS, 299.00, 2025-12-31
    RRSSFB_MKT_CG_DH, 299.00, 2024-04-30
    RRSSFB_MKT_CATA_DH, 299.00, 2024-04-30
    RRSSFB_MKT_ESTUDIO25DESC_DH, 299.00, 2024-04-30
    RRSSIG_MKT_CG_DH, 299.00, 2024-04-30
    RRSSIG_MKT_CATA_DH, 299.00, 2024-04-30
    RRSSIG_MKT_ESTUDIO25DESC_DH, 299.00, 2024-04-30
    MAIL-CATARATA_1, 299.00, 2024-04-30
    MAIL-CATARATA_2, 299.00, 2024-04-30
    MAIL-CATARATA_3, 299.00, 2024-04-30
    NUEVOPRECIO-RSIG, 299.00, 2024-04-30
    PUBLI-DIG, 299.00, 2024-06-31
    MEJORAMOS-S, 299.00, 2024-06-15
